Continent,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
Europa,0.20182965858931065,0.20769751890970278,0.23146944269741726,0.25917438414732424,0.09841857414687379,0.07098188657911553,0.6787072944445296,0.11430707601000666,0.07579761431863788
Asia,0.1408776975639082,0.25996428131910393,0.21163403144458526,0.23468527086678864,0.23696254452373575,0.14253350959701586,0.8398456169694041,0.15463559544013442,0.158026660035173
AmericaN,0.11823569818112349,0.12069124689332339,0.12041725228516188,0.10495621592572252,0.2168587556836939,0.1618149375766707,0.8974816090196873,0.05304443248507199,0.22042774759743722
AmericaS,0.021428226356652445,0.31298368355478523,0.2638502277621371,0.20624215638983745,0.12704297523547348,0.06668042985959363,0.5314464727204086,0.0733893804788546,0.08794285283002248
Oceania,0.00347814452133078,0.08158924398306325,0.023522416250424713,0.02333685746490259,0.0,0.010486753110817369,0.10214690269443165,0.0029856725454745388,0.00919315425161276
Africa,,,,,,,,,
,,,,,,,,,
