Componenta,Varianta,Procent_Varianta,Varianta_Cumulata,Procent_Cumulat
PC1,5.990025861945037,65.38819654364964,5.990025861945037,65.38819654364964
PC2,1.2731547899404367,13.897986011045727,7.263180651885474,79.28618255469537
PC3,0.8738867381992865,9.539504354612111,8.137067390084761,88.82568690930748
PC4,0.3629546583701097,3.9620781420518862,8.50002204845487,92.78776505135936
PC5,0.2566614443706658,2.801762355703179,8.756683492825536,95.58952740706253
PC6,0.17995335785078742,1.9644031266362791,8.936636850676322,97.55393053369882
PC7,0.14444013618436619,1.5767344300827526,9.081076986860689,99.13066496378157
PC8,0.07262158208960347,0.7927502138436259,9.153698568950292,99.9234151776252
PC9,0.007015716763976397,0.07658482237479121,9.160714285714269,100.0
