Variabila,KMO
2008,0.9639857708102124
2009,0.9638411574527004
2010,0.9704925823564197
2011,0.9589945809818727
2012,0.9657132894751266
2013,0.9663571674921183
2014,0.9661081020331126
2015,0.9697063649607063
2016,0.9651380569045306
2017,0.962205330643192
2018,0.9596723149408186
2019,0.9598956962523106
2020,0.9428750931175678
2021,0.9586582531585284
KMO_General,0.9624266602203893
