Factor1,Factor2,Factor3,Factor4
0.8344176635484191,-2.675261049965328,1.7097928136078757,0.040260310873662
0.9476395940216886,-0.7975188841139143,0.24824886943723892,-0.590890086488683
0.17719276993264318,-1.2579916221031753,-0.7495956041907798,-0.49155938827802204
0.963213532405841,-1.7405160160009683,1.448720504624026,0.22234824712046866
0.48004656538771384,-2.526810372806587,-1.3080352956949393,0.46067550023118226
-0.13364846345340545,-0.9332935695486343,1.1038950021305804,0.6814517053576059
0.13179495414524647,-1.4924879226311698,-0.5630101330258432,-0.1919271492831499
-1.1760133899843286,-0.7000470517043008,1.9700173116876512,-1.3041257225294047
0.6349390556140352,-2.2132613762354283,0.9414392285581228,-0.31105420828860186
-0.17113436411557437,-0.8031323173644405,1.01586937915064,0.009038288268476078
-0.48956148032649366,-0.32679050637746015,-0.26297595990038897,0.7577777447170213
-0.37234359144793167,0.34959793921540017,0.021592210498995252,-0.38799178869560913
0.0639669437497067,0.40199694707421135,1.489157532162444,-0.8129902519689145
-1.7616093910017976,0.4096629215069277,1.4631589014234838,1.3488020071204676
0.3165525700562361,0.9015161534352437,1.0835037414797497,-0.08390453351413305
0.2684971908960196,0.52657328210658,0.629005192804071,0.28568374983236805
0.6930533652003151,-0.5854144225211597,-0.30788576657262967,-1.8205014104150548
0.25722510359407935,-1.1079202344479064,-4.1641994993600004,-0.6224155243450303
-0.6081157619894803,-0.4401119533385246,-0.7109387097342595,0.25738631545576096
-0.28173953701985177,0.41903075683596086,-1.926565689077251,0.8635558516913348
-0.7481934960757182,-0.4783805063062125,-0.6900769252328519,1.2494852053868377
-3.709502638468604,0.8329296600738463,0.18125602989622921,1.9750446609165295
2.1890438871056888,1.6860776954872323,-1.254049777659742,-0.003974281498940593
-0.36452720254946536,-0.39440874138614307,0.05896163066759193,0.2879304227340884
-0.49405232710136004,2.0547734389865946,1.6351107494030162,3.2192031219985
0.6035485621271245,-0.1935816306280509,0.05423538196388505,0.3614976875343667
-0.12779077709918166,-0.6127018948466918,-0.9478336631404773,0.4492554368424345
-0.7436475679648009,-0.5810772138454867,0.7763822867150859,-0.021683668187614684
-0.07852981823579094,1.3833089891852877,-0.02915060989955913,0.1814600324190818
0.46023420871885296,1.3067180810131185,-0.3778368205927404,0.764581161810541
-0.05179169980425763,-0.09237108637186477,-0.4856318948916792,0.30862571902072333
