Country_Number,Country_Name,Three_Letter_Country_Code,FR,IM,LE,LEF,LEM,MMR,RS
528,"Netherlands, Kingdom of the",NLD,1.732,3.457,81.305,83.14,79.36,6.9192,0.304
548,"Vanuatu, Republic of",VUT,4.0,24.303,69.49,71.15,67.97,78.4103,2.757
554,New Zealand,NZL,2.0363,4.365,81.321,83.11,79.5,11.2364,1.089
558,"Nicaragua, Republic of",NIC,2.54,17.825,73.1,76.38,69.78,149.7722,1.326
562,"Niger, Republic of",NER,7.35,55.9,59.155,60.28,58.09,553.497,3.893
566,"Nigeria, Federal Republic of",NGA,5.74,74.972,51.95,52.76,51.17,813.9774,2.67
578,"Norway, Kingdom of",NOR,1.8191,2.445,81.606,83.63,79.53,4.9184,1.246
583,"Micronesia, Federated States of",FSM,3.3255,30.28,66.887,68.59,65.25,99.5741,1.13
586,"Pakistan, Islamic Republic of",PAK,3.7821,68.101,66.024,66.99,65.13,177.9448,2.114
591,"Panama, Republic of",PAN,2.6002,16.0,77.291,80.39,74.37,94.4862,1.713
598,"Papua New Guinea, Independent State of",PNG,3.8376,48.312,62.728,64.13,61.42,214.7991,2.07
600,"Paraguay, Republic of",PRY,2.5988,20.779,73.162,75.15,71.29,131.725,1.363
604,"Peru, Republic of",PER,2.4,14.087,75.11,77.66,72.6,68.364,0.97
608,"Philippines, Republic of the",PHL,3.05,23.716,70.231,74.61,66.23,114.1477,1.663
616,"Poland, Republic of",POL,1.3338,4.398,77.146,81.15,73.07,3.1057,-0.155
620,"Portugal, Portuguese Republic",PRT,1.2831,2.948,80.622,83.65,77.45,10.146,-0.434
624,"Guinea-Bissau, Republic of",GNB,4.9,68.104,55.938,58.19,53.56,549.1011,2.637
626,"Timor-Leste, Democratic Republic of",TLS,4.4,44.893,67.668,69.51,65.92,214.6423,1.797
630,"Puerto Rico, Commonwealth of",PRI,1.5,6.374,79.135,82.7,75.43,14.4669,-1.14
634,"Qatar, State of",QAT,2.0,7.319,79.482,81.13,78.26,12.6342,6.473
642,Romania,ROU,1.5108,8.352,74.943,78.41,71.49,31.3806,-0.541
643,Russian Federation,RUS,1.6977,8.337,70.271,75.96,64.55,24.6159,0.209
646,"Rwanda, Republic of",RWA,4.25,39.411,65.79,67.64,63.85,290.2006,2.488
662,Saint Lucia,LCA,1.5073,16.002,75.197,76.6,73.87,47.8169,0.571
670,Saint Vincent and the Grenadines,VCT,2.0084,17.362,71.886,74.49,69.63,44.7456,0.162
678,"Sao Tome and Principe, Democratic Republic of",STP,4.6,32.076,68.488,70.8,66.2,156.1115,2.009
682,"Saudi Arabia, Kingdom of",SAU,2.725,8.687,74.382,76.01,73.11,11.6142,2.911
686,"Senegal, Republic of",SEN,5.0,38.269,65.743,67.52,63.82,315.1103,2.793
688,"Serbia, Republic of",SRB,1.4612,6.072,74.752,77.42,72.12,16.8514,-0.256
694,"Sierra Leone, Republic of",SLE,4.8418,97.125,51.416,52.29,50.5,1359.6742,2.229
702,"Singapore, Republic of",SGP,1.233,2.065,82.297,84.52,80.06,9.9842,1.721
703,Slovakia (Slovak Republic),SVK,1.38,5.421,76.229,79.81,72.51,5.637,0.116
704,"Vietnam, Socialist Republic of",VNM,1.9624,17.899,74.962,79.06,70.83,54.1131,1.043
705,"Slovenia, Republic of",SVN,1.575,2.23,80.142,83.13,77.06,8.5984,0.271
706,"Somalia, Somali Republic",SOM,6.61,79.435,54.856,56.51,53.28,731.8838,2.718
710,"South Africa, Republic of",ZAF,2.55,32.943,60.952,64.24,57.81,138.0462,1.565
716,"Zimbabwe, Republic of",ZWE,4.0897,51.221,56.71,58.26,54.88,443.3138,1.686
724,"Spain, Kingdom of",ESP,1.3252,2.879,82.506,85.32,79.63,4.9912,-0.111
728,South Sudan,SSD,5.15,65.813,56.058,57.51,54.64,789.2084,2.391
740,"Suriname, Republic of",SUR,2.5582,20.261,70.934,74.26,67.8,155.1554,1.103
748,"Swaziland, Kingdom of",SWZ,3.135,51.609,50.666,53.98,47.81,389.055,0.723
752,"Sweden, Kingdom of",SWE,1.902,2.402,81.92,83.76,80.04,4.0511,0.783
756,"Switzerland, Swiss Confederation",CHE,1.5258,3.893,82.691,84.75,80.5,5.1893,1.213
760,Syrian Arab Republic,SYR,3.1,17.868,69.873,76.29,64.38,67.6153,-3.428
762,"Tajikistan, Republic of",TJK,3.6075,34.054,69.388,71.84,67.16,31.9818,2.322
764,"Thailand, Kingdom of",THA,1.5346,10.083,75.178,78.87,71.59,20.2863,0.447
768,"Togo, Togolese Republic",TGO,4.6895,55.665,59.076,59.8,58.33,368.2437,2.627
776,"Tonga, Kingdom of",TON,3.7886,14.737,70.314,72.24,68.39,123.9509,-0.625
780,"Trinidad and Tobago, Republic of",TTO,1.7959,26.09,72.483,75.23,69.81,62.7198,0.625
784,United Arab Emirates,ARE,1.695,6.501,76.792,78.23,76.11,6.1003,1.602
788,"Tunisia, Tunisian Republic",TUN,2.2521,14.557,75.452,77.59,73.4,62.0202,0.999
792,"Turkey, Republic of",TUR,2.121,11.835,75.592,78.69,72.45,15.9466,1.646
795,Turkmenistan,TKM,3.0,46.879,67.302,70.76,63.89,42.0231,1.796
800,"Uganda, Republic of",UGA,5.78,58.964,59.46,61.14,57.66,343.1332,3.289
804,Ukraine,UKR,1.4889,8.753,70.909,75.85,65.83,24.4514,-0.384
807,"Macedonia, The Former Yugoslav Republic of",MKD,1.5033,8.929,75.161,77.23,73.14,7.5531,0.083
818,"Egypt, Arab Republic of",EGY,3.45,18.921,70.834,73.05,68.71,33.0396,2.213
826,United Kingdom of Great Britain & Northern Ireland,GBR,1.8662,4.058,80.867,82.73,78.94,9.1093,0.743
834,"Tanzania, United Republic of",TZA,5.2395,46.861,60.914,63.09,58.75,398.1328,2.984
840,United States of America,USA,1.875,5.959,78.941,81.32,76.52,13.7493,0.754
854,Burkina Faso,BFA,5.6462,64.736,58.707,59.26,58.02,370.6205,2.978
858,"Uruguay, Eastern Republic of",URY,2.01,10.049,77.049,80.67,73.22,14.8093,0.312
860,"Uzbekistan, Republic of",UZB,2.43,27.679,70.229,72.68,67.81,35.9338,1.625
862,"Venezuela, Bolivarian Republic of",VEN,2.4047,15.007,73.069,77.01,69.36,95.3956,1.123
882,"Samoa, Independent State of",WSM,4.1643,15.094,72.254,74.53,70.17,51.2893,0.798
887,Yemen,YEM,4.4,43.283,65.995,67.7,64.34,385.1551,2.697
894,"Zambia, Republic of",ZMB,5.2,53.306,59.291,61.46,57.03,224.2364,3.09
