Pereche_Canonica,Corelatie_Canonica
Pereche_1,0.9628249327004599
Pereche_2,0.9794039131867875
Pereche_3,0.9477816420223075
Pereche_4,0.8799019080087992
Pereche_5,0.7317198517026887
Pereche_6,0.5914712683511874
Pereche_7,0.5280585594965272
Pereche_8,0.4346274834293688
