CountryCode,z1,z2,z3,z4,z5,z6,z7,z8
AUT,0.0007584609261503226,0.10570205459744993,-0.04314959636533979,-0.5405768562624083,-0.41334673033056635,-1.026103527050408,-1.1482683031579717,-0.5127959952962486
BEL,0.0011444421610257375,0.1300156051372311,0.3951771677567888,0.903755523091111,1.2371729802725133,0.139784344549274,0.3045238923005104,0.57958918763223
HRV,0.00017822794001248955,-0.3753333642106675,0.6903013841046354,-0.7725551872480986,-0.741829007948385,-0.2946169984344888,-0.1958043062239774,-0.11315572076936921
CYP,-0.002700648975868283,0.45756795545617185,0.684848809864007,-0.7217573396524904,0.8792036179323804,0.007940622480413098,0.09468520414636325,0.14212222235399286
CZE,-0.0007502957811868811,0.046071921763562625,-0.11969682820920603,0.7625270089591533,-0.7900470094890525,-0.5721764413960124,0.34482904924605434,0.3724715737058777
DNK,0.0003651682153494711,-0.21038733382051172,-1.6878311284578806,-0.18226771932564492,1.8984812161853146,-0.2931191108409767,0.8982482061022463,-0.2548656721142233
EST,-0.0018249420659573635,-0.05093652899105033,-1.3295739672598692,0.3606192116249799,-1.4252574801186897,0.2307492489455974,-0.7223806684878251,0.11015416834636692
FIN,0.0010260984760850239,0.5728576666400386,-0.866926000899719,-0.08383595167377154,0.40591882165968507,0.9376249725879885,-1.0165480813624217,2.0505062344386946
FRA,0.0014250157560948972,0.33814734368639227,0.8646980169284509,0.7736707424813037,-0.685126240198071,0.16775464115906755,0.2773883554355913,-0.011320491584598094
DEU,-0.0006766835371277689,-0.03919668830488859,-0.3275788713577933,0.6729112461050039,0.5338937332318539,-0.5500525258886376,0.06353504502873032,0.42040096284801554
GRC,-0.001430743086393371,-0.40355946238066415,0.13444698246712447,-0.2027757048253848,-0.4208520657684767,-0.5599927549912427,0.19329666317946723,-0.008869821516465105
HUN,0.0006667834030742,0.13829041792962632,-0.19046214476020987,-0.018825542625173906,-0.1488639010913005,0.2148164123653103,0.2765575274957374,0.5604142038426041
ITA,0.00030480451016390834,-0.34919616454401786,0.19492490503182922,0.9097839571049917,0.3601848725756165,-0.671560219164684,0.06276889140037356,-0.9439434109183308
LVA,0.001136158824776473,-0.2394517134812501,0.6097513899277208,-1.3378341791342954,-0.09554359233874693,0.03809340128004695,-0.8732627885044575,0.8774348736844797
LTU,0.0007952232586645605,0.2667234667350369,-0.3691723953691049,-0.7011325342228003,-1.6532165856783374,1.4688908056083154,0.7658590256871153,-1.6056113199274522
LUX,0.001030551095020458,-0.4401455010037855,0.8223485869274038,-0.21144182291136296,1.0005478045764715,0.40983071328020554,-1.1523906750690498,-0.5181197354984366
MLT,-0.0028813050187155515,0.5268871354550101,0.8857909149632069,-0.2332102097166652,0.835471392006535,-0.023027936059288167,-0.2577115124564953,-0.423464033994567
NLD,0.0002561642262676068,-0.206633321785407,-0.2927887538191116,0.7911899359072154,0.9334817241586393,0.7320472632713825,-1.259291787374933,-1.324882676857575
POL,-0.0014626468113517848,-0.457675191368539,-0.21685362157240165,0.6293087132724658,-0.9578612841542967,0.9481125357180704,-0.14941269990311026,0.6382237849441854
PRT,9.541748178836227e-05,-0.40962966831921016,-0.7001435419584658,-1.3026827237227245,0.37605557607004597,-0.2954712159696893,1.0788750003888838,0.6704149241707857
SVK,0.0008520290546368946,0.16528196199288597,0.5705433131106461,0.30434313199914825,-0.2930012356857406,-0.2629992545727337,0.8608671381478619,0.8672026847749656
SVN,0.00039823896387502215,-0.2492732926349845,1.0376806841559987,0.45669175066491074,-0.6308619840746895,-0.1071548700086233,0.8194221215470068,0.6782004370151455
ESP,0.0003104500346271979,0.2272743728499556,0.20250594963004193,-0.2690544396364632,0.8149002474466621,0.8994250588787099,1.0422427360608058,-1.1900292967614154
SWE,0.0011853411349792367,0.6251093799713962,-0.6637014687304591,-0.10416709879420041,-0.727187454476267,-1.6708814837762902,-0.30783169383442727,-0.9008469279667348
GBR,-0.00020131018599089945,-0.1685110513693644,-0.2851397861090845,0.11731608854100273,-0.292317414763545,0.13208631802774562,-0.00019633979178479422,-0.15923015455268796
