Region,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE_tone,GreenGIE_tone
WesternE,1404.809126942964,1.7251509892780033,3.957075234080549,0.0420655158226028,0.9253545097525157,1.1191572626741368,6142.566505133554,1625.1949463372998
EasternE,10530.223539564184,48.16302656515473,23.348205055570876,0.0828265511032607,8.124413400328924,4.282785196289072,23856.19658723493,11277.838205140339
SouthernE,6652.96547047049,24.67137237151518,19.02562615010177,0.033492662528755504,3.4710295147468435,1.1003189964495603,13352.226932800362,7044.051292339194
NorthernE,5344.2736825847205,50.55563849641623,26.66412160804913,0.0810941927674869,11.555707555428455,2.5926859342265915,16210.815099796002,6421.234471393379
British,2416.4902950373325,4.01783191869927,6.070068912659341,0.01178672830054047,1.926168455948346,0.8721217321209928,7291.12176230216,2685.739296500192
Other,1209.508813132122,20.560721874899166,4.1932642577189885,0.0,0.541715906107657,0.7430415322869287,0.0,0.0
