,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
Librarie,1.0,-0.0963990626202457,0.029045218960294394,0.07280102876980536,-0.04028371548102146,0.010576494808176538,0.2437514176261208,0.2224697589361862,0.09087517524084038
CostLunarBasic,-0.0963990626202457,1.0,0.8946238066277147,0.8204169292718845,0.6980703887519545,0.703416754971991,0.4829382891935577,0.9031103966300259,0.6963337569713173
CostLunarStandard,0.029045218960294394,0.8946238066277147,1.0,0.9888454562340173,0.6537704083309894,0.750861778212263,0.6028837990386419,0.9446066677300166,0.7783108449701326
CostLunarPremium,0.07280102876980536,0.8204169292718845,0.9888454562340173,1.0,0.6017953394258401,0.7298643122261618,0.6067819212542508,0.9119514752404068,0.7693075047430384
Internet,-0.04028371548102146,0.6980703887519545,0.6537704083309894,0.6017953394258401,1.0,0.8678500877771619,0.6025855668798826,0.6748828716467302,0.7969334906078579
HDI,0.010576494808176538,0.703416754971991,0.750861778212263,0.7298643122261618,0.8678500877771619,1.0,0.8366690322697556,0.6916636455337721,0.9690137138393908
Venit,0.2437514176261208,0.4829382891935577,0.6028837990386419,0.6067819212542508,0.6025855668798826,0.8366690322697556,1.0,0.5408063414160412,0.8057597081947536
IndiceFericire,0.2224697589361862,0.9031103966300259,0.9446066677300166,0.9119514752404068,0.6748828716467302,0.6916636455337721,0.5408063414160412,1.0,0.7231121784681184
IndiceEducatie,0.09087517524084038,0.6963337569713173,0.7783108449701326,0.7693075047430384,0.7969334906078579,0.9690137138393908,0.8057597081947536,0.7231121784681184,1.0
