,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
Librarie,1.0,0.20895245125123052,0.4357668872422329,0.46294705896365707,0.7937267139107098,0.9547847537734973,0.876209744375651,0.9159296416576962,0.9131613901090846
CostLunarBasic,0.20895245125123052,1.0,0.9005673070203064,0.7527237646521128,0.2983925370394625,0.1986912729305918,0.4331442552283306,0.473979670711828,0.33243689893406975
CostLunarStandard,0.4357668872422329,0.9005673070203064,1.0,0.9580335864388395,0.6132617678712142,0.5160544301506397,0.6960532682979893,0.7007731256581767,0.6395364657870385
CostLunarPremium,0.46294705896365707,0.7527237646521128,0.9580335864388395,1.0,0.6643099175322444,0.5941704109079501,0.7739133377699228,0.6946655309188245,0.6979133207207024
Internet,0.7937267139107098,0.2983925370394625,0.6132617678712142,0.6643099175322444,1.0,0.9166898350791283,0.7430410620721274,0.9295392187299008,0.9605766532023492
HDI,0.9547847537734973,0.1986912729305918,0.5160544301506397,0.5941704109079501,0.9166898350791283,1.0,0.8946482169799104,0.9428994331506574,0.9837202153907959
Venit,0.876209744375651,0.4331442552283306,0.6960532682979893,0.7739133377699228,0.7430410620721274,0.8946482169799104,1.0,0.8658236718960449,0.890323106766617
IndiceFericire,0.9159296416576962,0.473979670711828,0.7007731256581767,0.6946655309188245,0.9295392187299008,0.9428994331506574,0.8658236718960449,1.0,0.9741541341421524
IndiceEducatie,0.9131613901090846,0.33243689893406975,0.6395364657870385,0.6979133207207024,0.9605766532023492,0.9837202153907959,0.890323106766617,0.9741541341421524,1.0
