,Factor1,Factor2,Factor3
Librarie,-0.09917761637515264,-0.19219101056874946,0.013007246743671695
CostLunarBasic,-0.9084491969497969,0.14404684125120631,-0.3672650062431616
CostLunarStandard,-0.9944873529677548,0.06025999806104178,0.036638341213844246
CostLunarPremium,-0.9777665147025708,-0.036406906623062035,0.1738943314897451
Internet,-0.5189067885045511,-0.6823242978464575,-0.19101642865726057
HDI,-0.6551698683286752,-0.6988073348210334,-0.13691144022459198
Venit,-0.7403859664703575,-0.43734774286619255,0.08033416573579355
IndiceFericire,-0.7647357588671128,-0.3324550347011614,-0.10093100503043394
IndiceEducatie,-0.6210195744536557,-0.6644634111109528,-0.17581470033743218
