,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
Librarie,1.0,-0.024165111953480648,-0.019528693048163508,-0.05992855768448818,0.23990269763046823,0.5772298325066827,0.4923528098387258,0.3915126020305603,-0.14989983575293991
CostLunarBasic,-0.024165111953480648,1.0,0.9925823158846199,0.9841319952696743,-0.03537247531332188,-0.010865087249969107,0.3980828954235213,0.06185286194374913,-0.15872260363616436
CostLunarStandard,-0.019528693048163508,0.9925823158846199,1.0,0.9963223065222105,0.03696572174946539,0.023991847237501508,0.46595673300690377,0.136605842684816,-0.13394035491202275
CostLunarPremium,-0.05992855768448818,0.9841319952696743,0.9963223065222105,1.0,0.041693144710147886,-0.002726692980629289,0.44580656548503683,0.13703831708832886,-0.1439421121045642
Internet,0.23990269763046823,-0.03537247531332188,0.03696572174946539,0.041693144710147886,1.0,0.8313234968034607,0.800484564488136,0.9651815854740631,0.4622904164379468
HDI,0.5772298325066827,-0.010865087249969107,0.023991847237501508,-0.002726692980629289,0.8313234968034607,1.0,0.7981521291344015,0.8210274576113806,0.5438412174841999
Venit,0.4923528098387258,0.3980828954235213,0.46595673300690377,0.44580656548503683,0.800484564488136,0.7981521291344015,1.0,0.871113376389103,0.3003908293600723
IndiceFericire,0.3915126020305603,0.06185286194374913,0.136605842684816,0.13703831708832886,0.9651815854740631,0.8210274576113806,0.871113376389103,1.0,0.36188318199469016
IndiceEducatie,-0.14989983575293991,-0.15872260363616436,-0.13394035491202275,-0.1439421121045642,0.4622904164379468,0.5438412174841999,0.3003908293600723,0.36188318199469016,1.0
